"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"187","I_LPstair",0.443226228218735,0.0266748339095426,0.0881826357964436,"Left","Peripheral","Inverted","024",0.5,-0.5,0.5
"188","I_RNstair",0.304048898033677,0.0266441729569052,0.0884836254737181,"Right","Near","Inverted","024",-0.5,0.5,0.5
"189","I_RFstair",0.229281844846123,0.027662458198528,0.0906239929828161,"Right","Far","Inverted","024",0,0.5,0.5
"190","I_RPstair",0.350583619433797,0.0333205816572638,0.107035895540441,"Right","Peripheral","Inverted","024",0.5,0.5,0.5
"191","V_LNstair",0.226999158413449,0.0266615403579314,0.0879922459083267,"Left","Near","Upright","025",-0.5,-0.5,-0.5
"192","V_LFstair",0.235625512264985,0.0270052611957531,0.0895153339872734,"Left","Far","Upright","025",0,-0.5,-0.5
"193","V_LPstair",0.251906504875734,0.0280660997178343,0.0928637046955381,"Left","Peripheral","Upright","025",0.5,-0.5,-0.5
"194","V_RNstair",0.177887953889773,0.0268893746219789,0.0883737370153421,"Right","Near","Upright","025",-0.5,0.5,-0.5
"195","V_RFstair",0.147895693609892,0.0272594263454125,0.089821624287689,"Right","Far","Upright","025",0,0.5,-0.5
"196","V_RPstair",0.112173991439402,0.0273085270978446,0.0904589086922639,"Right","Peripheral","Upright","025",0.5,0.5,-0.5
"197","I_LNstair",0.39810425431966,0.0260918343180806,0.0861687818330572,"Left","Near","Inverted","025",-0.5,-0.5,0.5
"198","I_LFstair",0.31999376872248,0.0263156920810761,0.0868182959642396,"Left","Far","Inverted","025",0,-0.5,0.5
"199","I_LPstair",0.299741277572719,0.0273022874659969,0.0892826869941761,"Left","Peripheral","Inverted","025",0.5,-0.5,0.5
"200","I_RNstair",0.23562829779903,0.0266901180055912,0.0885409162312851,"Right","Near","Inverted","025",-0.5,0.5,0.5
"201","I_RFstair",0.227133836141968,0.0274163962389238,0.0906559693334528,"Right","Far","Inverted","025",0,0.5,0.5
"202","I_RPstair",0.203910481773039,0.0269084681481905,0.0893828621501077,"Right","Peripheral","Inverted","025",0.5,0.5,0.5
"203","V_LNstair",0.24919868684425,0.0297555685367158,0.0985302425331334,"Left","Near","Upright","026",-0.5,-0.5,-0.5
"204","V_LFstair",0.410968260089116,0.0266905045298603,0.0879874883923933,"Left","Far","Upright","026",0,-0.5,-0.5
"205","V_LPstair",0.570869760542653,0.0270233528957419,0.0892238216986285,"Left","Peripheral","Upright","026",0.5,-0.5,-0.5
"206","V_RNstair",0.173264547112787,0.0270613277549597,0.0897645574487066,"Right","Near","Upright","026",-0.5,0.5,-0.5
"207","V_RFstair",0.149361693952714,0.0271568227992191,0.0889970485226696,"Right","Far","Upright","026",0,0.5,-0.5
"208","V_RPstair",0.417802758857072,0.0273455045852089,0.0901628352291179,"Right","Peripheral","Upright","026",0.5,0.5,-0.5
"209","I_LNstair",0.636151556797001,0.0258501692378129,0.0852873383646222,"Left","Near","Inverted","026",-0.5,-0.5,0.5
"210","I_LFstair",0.594934032891291,0.0264317903538328,0.0876843928627107,"Left","Far","Inverted","026",0,-0.5,0.5
"211","I_LPstair",0.835272477520022,0.0262395331829213,0.0868901311441471,"Left","Peripheral","Inverted","026",0.5,-0.5,0.5
"212","I_RNstair",0.333351191181006,0.0269975906413376,0.0896626400788584,"Right","Near","Inverted","026",-0.5,0.5,0.5
"213","I_RFstair",0.419851747627352,0.0262958666018837,0.0867495360712453,"Right","Far","Inverted","026",0,0.5,0.5
"214","I_RPstair",0.535406368440404,0.026419708431591,0.0875191020933495,"Right","Peripheral","Inverted","026",0.5,0.5,0.5
"215","V_LNstair",0.263405775732529,0.0336402047317197,0.10613544397627,"Left","Near","Upright","028",-0.5,-0.5,-0.5
"216","V_LFstair",0.214248550265657,0.0322169299039004,0.102736825228648,"Left","Far","Upright","028",0,-0.5,-0.5
"217","V_LPstair",0.218010342078203,0.0274992231765319,0.090620501139201,"Left","Peripheral","Upright","028",0.5,-0.5,-0.5
"218","V_RNstair",0.230092484114004,0.0268039289063839,0.0880991566435868,"Right","Near","Upright","028",-0.5,0.5,-0.5
