"","SUBJECT","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","ART","Spelling","VisWM","Native_English_reader","Native_Latin_reader"
"189","047","LPstair",0.644592419160169,0.0217600307041406,0.0727113812496996,"Left","Peripheral",24,75,46,"Y","Y"
"190","047","RNstair",0.17421435922127,0.0365128421693415,0.119421981557961,"Right","Near",24,75,46,"Y","Y"
"191","047","RFstair",0.212662352283216,0.0255639093327968,0.084115425649787,"Right","Far",24,75,46,"Y","Y"
"192","049","LFstair",0.358536688231345,0.0227996499304293,0.0753501210521978,"Left","Far",15,82,59,"Y","Y"
"193","049","LPstair",0.494457268311563,0.0216488154144232,0.072341657196465,"Left","Peripheral",15,82,59,"Y","Y"
"194","049","LNstair",0.169896150763938,0.0235473773121857,0.078415814294352,"Left","Near",15,82,59,"Y","Y"
"195","049","RPstair",0.433583145988645,0.0233141160390538,0.0766227809976751,"Right","Peripheral",15,82,59,"Y","Y"
"196","049","RFstair",0.146178475261716,0.0241598089304073,0.0795558873963695,"Right","Far",15,82,59,"Y","Y"
"197","049","RNstair",0.152438412719601,0.0342591219138071,0.113050554042943,"Right","Near",15,82,59,"Y","Y"
"198","050","RNstair",0.309647272125022,0.0273852965313047,0.0895811108415927,"Right","Near",4,71,64,"Y","Y"
"199","050","RFstair",0.488943823687885,0.0333295378457764,0.0967148313278762,"Right","Far",4,71,64,"Y","Y"
"200","050","LNstair",0.213415764157699,0.0227976074280879,0.0755692919070567,"Left","Near",4,71,64,"Y","Y"
"201","050","LFstair",0.219247184545035,0.0287915297687933,0.0949810870754613,"Left","Far",4,71,64,"Y","Y"
"202","050","LPstair",0.462528357177656,0.0473274995548748,0.12189420659509,"Left","Peripheral",4,71,64,"Y","Y"
"203","050","RPstair",0.608247255942122,0.0254920794087211,0.0837975451032538,"Right","Peripheral",4,71,64,"Y","Y"
"204","052","LPstair",0.477929019654695,0.0218737378469637,0.0721432265494949,"Left","Peripheral",8,74,63,"Y","Y"
"205","052","RPstair",0.424329425573266,0.0223032308785296,0.0742654995781771,"Right","Peripheral",8,74,63,"Y","Y"
"206","052","LNstair",0.294536431198867,0.0238463343287967,0.0783556971087473,"Left","Near",8,74,63,"Y","Y"
"207","052","LFstair",0.510125510507727,0.0214539079932066,0.0701858372237031,"Left","Far",8,74,63,"Y","Y"
"208","052","RNstair",0.212806095638143,0.0235311787913218,0.0776879919265394,"Right","Near",8,74,63,"Y","Y"
"209","052","RFstair",0.369383675716895,0.0222618240609475,0.0734702803302864,"Right","Far",8,74,63,"Y","Y"
"210","053","LNstair",0.134249728468548,0.028054771388965,0.0929363511853781,"Left","Near",7,63,46,"Y","Y"
"211","053","LFstair",0.433816056142355,0.0243124058305652,0.0801066185875783,"Left","Far",7,63,46,"Y","Y"
"212","053","RPstair",0.368828943969297,0.0253617906367968,0.0838883000676451,"Right","Peripheral",7,63,46,"Y","Y"
"213","053","LPstair",0.619189343782438,0.0218766263739956,0.0717690769317516,"Left","Peripheral",7,63,46,"Y","Y"
"214","053","RNstair",0.153603293520003,0.0239972776924301,0.0789798624298713,"Right","Near",7,63,46,"Y","Y"
"215","053","RFstair",0.24667067302637,0.0288096027166671,0.0950245633453313,"Right","Far",7,63,46,"Y","Y"
"216","054","RNstair",0.209637901867105,0.0331615119954445,0.108721401173868,"Right","Near",10,54,42,"Y","Y"
"217","054","LNstair",0.417822836461199,0.02369729793762,0.0783287677668426,"Left","Near",10,54,42,"Y","Y"
"218","054","RPstair",0.342175012626555,0.0232746711095998,0.0770128677040336,"Right","Peripheral",10,54,42,"Y","Y"
"219","054","LFstair",0.386669507179103,0.0944176088497065,0.305261779433606,"Left","Far",10,54,42,"Y","Y"
"220","054","LPstair",0.524155152069786,0.0231804660012615,0.0762275280290135,"Left","Peripheral",10,54,42,"Y","Y"
"221","054","RFstair",0.471773130431597,0.0257992475645479,0.083820302497982,"Right","Far",10,54,42,"Y","Y"
"222","055","LNstair",0.265321586430309,0.0240562836057483,0.0790013149736358,"Left","Near",4,61,38,"Y","Y"
"223","055","LFstair",0.501509810099035,0.0215109744483121,0.0711624898472438,"Left","Far",4,61,38,"Y","Y"
"224","055","LPstair",0.799273197104414,0.0391988095862835,0.124975098351723,"Left","Peripheral",4,61,38,"Y","Y"
"225","055","RFstair",0.361721857192743,0.0221832599618838,0.073390721791773,"Right","Far",4,61,38,"Y","Y"
"226","055","RPstair",0.554641535851408,0.0212593255535808,0.0711685446489477,"Right","Peripheral",4,61,38,"Y","Y"
"227","055","RNstair",0.469773242356195,0.0216465464728972,0.070717733931456,"Right","Near",4,61,38,"Y","Y"
"228","056","RPstair",0.219936316856483,0.0230735998512751,0.0767272562953413,"Right","Peripheral",6,81,71,"Y","Y"
"229","056","RNstair",0.164738252680129,0.0371830663393658,0.121809818766826,"Right","Near",6,81,71,"Y","Y"
"230","056","RFstair",0.217838702198642,0.0274371256853963,0.0896459149525705,"Right","Far",6,81,71,"Y","Y"
"231","056","LPstair",0.408617054716857,0.0237292241602814,0.0785578773400755,"Left","Peripheral",6,81,71,"Y","Y"
"232","056","LNstair",0.15946412131877,0.0477944815037419,0.159184830821104,"Left","Near",6,81,71,"Y","Y"
"233","056","LFstair",0.202847558344873,0.0290702863202801,0.0932522624011443,"Left","Far",6,81,71,"Y","Y"
"234","057","LPstair",0.94723216263464,0.0221781013730055,0.0741380005344969,"Left","Peripheral",6,82,43,"Y","Y"
"235","057","LFstair",0.730502769096257,0.0230665727286945,0.0765754862574374,"Left","Far",6,82,43,"Y","Y"
"236","057","LNstair",0.718095620697066,0.0306186431282905,0.0987319965531942,"Left","Near",6,82,43,"Y","Y"
"237","057","RNstair",0.270273062979439,0.0829748771998016,0.277019411590023,"Right","Near",6,82,43,"Y","Y"
