"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"139","L_LPstair",0.703507485825813,0.0262870655212973,0.0871836691453947,"Left","Peripheral","Upright","035",0.5,-0.5,-0.5
"140","L_RNstair",0.234190664361671,0.0286384780131091,0.0946310175197179,"Right","Near","Upright","035",-0.5,0.5,-0.5
"141","L_RFstair",0.622785393503804,0.0280708432664307,0.0924209644782348,"Right","Far","Upright","035",0,0.5,-0.5
"142","L_RPstair",0.483393319377134,0.0256801450007556,0.0848994695339481,"Right","Peripheral","Upright","035",0.5,0.5,-0.5
"143","G_LNstair",0.807143480443234,0.0302292661490174,0.0999862530146507,"Left","Near","Gabor","035",-0.5,-0.5,0.5
"144","G_RNstair",0.706572367808231,0.0266001525007397,0.0880218573681191,"Right","Near","Gabor","035",-0.5,0.5,0.5
"145","G_RFstair",0.665920927267389,0.025799921312008,0.0851583919188974,"Right","Far","Gabor","035",0,0.5,0.5
"146","G_RPstair",0.594091696967592,0.028210464767137,0.0934500114145227,"Right","Peripheral","Gabor","035",0.5,0.5,0.5
"147","L_LNstair",0.187178516186806,0.0285652393849886,0.0939235118877564,"Left","Near","Upright","036",-0.5,-0.5,-0.5
"148","L_LFstair",0.577364961895926,0.0259524443497149,0.0855592456518377,"Left","Far","Upright","036",0,-0.5,-0.5
"149","L_LPstair",0.587769424475606,0.0259612456820844,0.085643912294231,"Left","Peripheral","Upright","036",0.5,-0.5,-0.5
"150","L_RNstair",0.691140310528582,0.0331797100073631,0.106162477330118,"Right","Near","Upright","036",-0.5,0.5,-0.5
"151","L_RFstair",0.379875559183861,0.0266900029892376,0.0878110325513012,"Right","Far","Upright","036",0,0.5,-0.5
"152","L_RPstair",0.579295834335902,0.0257196015299456,0.0851996780257525,"Right","Peripheral","Upright","036",0.5,0.5,-0.5
"153","G_LNstair",0.601151475967207,0.0264779501426981,0.0871494646270334,"Left","Near","Gabor","036",-0.5,-0.5,0.5
"154","G_LFstair",0.594873445607611,0.029610921520534,0.096024015343851,"Left","Far","Gabor","036",0,-0.5,0.5
"155","G_LPstair",0.500602643558762,0.0316219021095481,0.103460536912646,"Left","Peripheral","Gabor","036",0.5,-0.5,0.5
"156","G_RNstair",0.724809577789103,0.0274938629592802,0.0909497176990059,"Right","Near","Gabor","036",-0.5,0.5,0.5
"157","G_RFstair",0.531018062185,0.026080947781727,0.086037807504513,"Right","Far","Gabor","036",0,0.5,0.5
"158","G_RPstair",0.567219488202153,0.0272533222237254,0.0898868571246227,"Right","Peripheral","Gabor","036",0.5,0.5,0.5
"159","L_LNstair",0.551205280947936,0.0289799674644202,0.0952601937216118,"Left","Near","Upright","037",-0.5,-0.5,-0.5
"160","L_LFstair",0.766733031455948,0.0283808102251712,0.093505781286951,"Left","Far","Upright","037",0,-0.5,-0.5
"161","L_LPstair",0.823267411855122,0.026780073841707,0.0887490996864875,"Left","Peripheral","Upright","037",0.5,-0.5,-0.5
"162","L_RNstair",0.292662003240575,0.0447068182855454,0.139162099790745,"Right","Near","Upright","037",-0.5,0.5,-0.5
"163","L_RFstair",0.310507539544185,0.0267319562546852,0.0879516951800036,"Right","Far","Upright","037",0,0.5,-0.5
"164","L_RPstair",0.37084759575249,0.0351012556001636,0.111921365797343,"Right","Peripheral","Upright","037",0.5,0.5,-0.5
"165","G_LFstair",0.829753290907112,0.0281941142100896,0.0926106962466366,"Left","Far","Gabor","037",0,-0.5,0.5
"166","G_RNstair",0.936602165166462,0.0261755859858107,0.0873607544515178,"Right","Near","Gabor","037",-0.5,0.5,0.5
"167","G_RFstair",0.788542715431495,0.0275921943293592,0.0903910519734297,"Right","Far","Gabor","037",0,0.5,0.5
"168","G_RPstair",0.53598447159065,0.0256124902574796,0.0843903314551592,"Right","Peripheral","Gabor","037",0.5,0.5,0.5
